election_year,election_date,cdu_csu,spd,gruene,fdp,afd,linke,bsw,sonstige
1990,1990-12-02,0.4382253296748572,0.33462722350195795,0.05052993199639433,0.11028194731108978,NA,0.02431512708474632,NA,0.04202044043095443
1994,1994-10-16,0.4143314702542018,0.36387412558968574,0.0726950928999859,0.06917301695987792,NA,0.04386303721115647,NA,0.03606325708509217
1998,1998-09-27,0.351448204318151,0.4092857030445372,0.06695849998474908,0.06248322804792811,NA,0.05101459966993123,NA,0.05880976493470336
2002,2002-09-22,0.38508326027242,0.385208831981012,0.08563867600290688,0.07373071941942409,NA,0.03993422017614625,NA,0.030404292148090817
2005,2005-09-18,0.35169711597795195,0.342468895060623,0.08116915441612783,0.0982943913790538,NA,0.08708752844379845,NA,0.03928291472244494
2009,2009-09-27,0.3379781601565463,0.2303484870947742,0.10705890246497732,0.14562846903670384,NA,0.11887921452005352,NA,0.060106766726944705
2013,2013-09-22,0.4154299591079678,0.257329614550838,0.08448027912182847,0.04764881792553299,0.04704168532034409,0.08588998486422166,NA,0.06217965910926693
2017,2017-09-24,0.32929553878522877,0.20507965389251392,0.08939817297858528,0.1074792243410002,0.1263689740183765,0.0923836299527908,NA,0.04999480603150441
2021,2021-09-26,0.24069360630565123,0.2574270720291405,0.14754322825256772,0.11455039329359104,0.10343868956785109,0.04889765460905956,NA,0.08744935594213876
2025,2025-02-23,0.288,0.167,0.117,0.041,0.208,0.087,0.047,0.04500000000000004
