year,party,vote_share
1990,CDU/CSU,43.81
1990,SPD,33.46
1990,FDP,10.96
1990,GRÜNE,5.05
1990,LINKE,2.43
1990,Others,4.29
1994,CDU/CSU,41.43
1994,SPD,36.39
1994,FDP,6.93
1994,GRÜNE,7.27
1994,LINKE,4.39
1994,Others,3.59
1998,CDU/CSU,35.13
1998,SPD,40.93
1998,FDP,6.25
1998,GRÜNE,6.7
1998,LINKE,5.1
1998,Others,5.89
2002,CDU/CSU,38.52
2002,SPD,38.52
2002,FDP,7.37
2002,GRÜNE,8.56
2002,LINKE,3.99
2002,Others,3.04
2005,CDU/CSU,35.17
2005,SPD,34.23
2005,FDP,9.83
2005,GRÜNE,8.12
2005,LINKE,8.71
2005,Others,3.94
2009,CDU/CSU,33.83
2009,SPD,23.03
2009,FDP,14.56
2009,GRÜNE,10.71
2009,LINKE,11.89
2009,Others,6.01
2013,CDU/CSU,41.54
2013,SPD,25.74
2013,FDP,4.76
2013,GRÜNE,8.44
2013,LINKE,8.59
2013,Others,10.93
2017,CDU/CSU,32.93
2017,SPD,20.51
2017,FDP,10.75
2017,GRÜNE,8.94
2017,LINKE,9.24
2017,Others,17.63
2021,CDU/CSU,24.1
2021,SPD,25.74
2021,FDP,11.45
2021,GRÜNE,14.75
2021,LINKE,4.89
2021,Others,19.07
